GenBank gi	Locus	Fold	Gene Name and/or Information
1385205_at	BF409092	16.89	UI-R-BT1-bkl-h-06-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-bkl-h-06-0-UI 3', mRNA sequence.
1387065_at	NM_080688	16.76	phospholipase C, delta 4
1389754_at	AI555295	16.74	Transcribed sequence with weak  similarity to protein ref:NP_005798.1 (H.sapiens)  proteoglycan 4; megakaryocyte stimulating factor; proteoglycan 4,
1376980_at	BF285539	16.63	Transcribed sequences
1380041_at	BF396849	16.49	Transcribed sequences
1396310_at	BF545380	16.25	UI-R-C0-jf-b-09-0-UI.r1 UI-R-C0 Rattus norvegicus cDNA clone UI-R-C0-jf-b-09-0-UI 5', mRNA sequence.
1371922_at	AI169140	15.95	Transcribed sequences
1387811_at	NM_134432	15.85	angiotensinogen
1381732_at	BF398558	15.7	fatty acid binding protein 7
1392734_at	AI145667	15.7	Transcribed sequences
1391809_at	BE106814	15.62	Transcribed sequences
1368373_at	NM_019343	15.57	regulator of G-protein signaling 7
1387476_at	NM_031730	15.49	potassium voltage gated channel, Shal-related family, member 2
1372095_at	BF281867	15.3	Similar to KIAA1161 protein (LOC366360), mRNA
1385788_at	AW534949	15.18	UI-R-BS0-any-d-05-0-UI.s1 UI-R-BS0 Rattus norvegicus cDNA clone UI-R-BS0-any-d-05-0-UI 3', mRNA sequence.
1385584_at	AI111406	14.99	Transcribed sequences
1384806_at	AI502875	14.98	Transcribed sequences
1384533_at	AW527248	14.96	UI-R-BO1-ajs-b-09-0-UI.s1 UI-R-BO1 Rattus norvegicus cDNA clone UI-R-BO1-ajs-b-09-0-UI 3', mRNA sequence.
1398565_at	AW534457	14.9	Transcribed sequences
1390532_at	AI013778	14.87	Transcribed sequence with weak  similarity to protein prf:2211222A (H.sapiens) 2211222A Na dicarboxylate cotransporter [Homo sapiens]
1389583_at	BF282712	14.68	Transcribed sequences
1393933_at	AW144823	14.65	Similar to gp250 precursor (LOC300652), mRNA
1377457_a_at	AA850618	14.64	Similar to gp250 precursor (LOC300652), mRNA
1368467_at	NM_019623	14.62	cytochrome P450, subfamily IVF, polypeptide 14 (leukotriene B4 omega hydroxylase)
1394786_at	AW526631	14.56	Transcribed sequences
1374908_at	BE113272	14.29	Transcribed sequence with weak  similarity to protein ref:NP_079268.1 (H.sapiens)  hypothetical protein FLJ12547 [Homo sapiens]
1378569_at	BI287991	14.23	Transcribed sequences
1392948_at	BI290737	14.19	Transcribed sequence with weak  similarity to protein ref:NP_058625.1 (H.sapiens)  chloride intracellular channel 5 [Homo sapiens]
1384707_at	AI600020	14.17	Transcribed sequences
1368981_at	NM_012825	14	aquaporin 4
1398304_at	L02530	13.67	frizzled homolog 2 (Drosophila)
1378413_at	BG379394	13.63	Transcribed sequences
1383768_at	BF563441	13.62	RNA binding protein HuB
1393075_at	BF386199	13.62	UI-R-CA1-bbb-g-03-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bbb-g-03-0-UI 3', mRNA sequence.
1397286_at	AW435211	13.43	transcription factor 4
1393007_at	BF554509	13.08	hairy and enhancer of split 5 (Drosophila)
1393639_at	AI044576	13.03	Similar to myosin X (LOC310178), mRNA
1370594_at	AF322217	13	immunoglobulin superfamily, member 1
1390878_at	BI296047	12.99	Similar to Thbs3 protein (LOC295242), mRNA
1387973_at	U39206	12.95	cytochrome P450 4F4
1389999_at	BI289392	12.94	eukaryotic elongation factor-2 kinase
1388189_at	AW522430	12.93	Transcribed sequence with strong similarity to protein sp:Q14832 (H.sapiens) MGR3_HUMAN Metabotropic glutamate receptor 3 precursor
1381648_at	BF397798	12.87	UI-R-BS2-bee-g-06-0-UI.s1 UI-R-BS2 Rattus norvegicus cDNA clone UI-R-BS2-bee-g-06-0-UI 3', mRNA sequence.
1381233_at	AW528010	12.85	Transcribed sequences
1391992_at	AI639517	12.85	Transcribed sequences
1395294_at	BE106134	12.75	Transcribed sequence with moderate similarity to protein pir:I60307 (E. coli) I60307 beta-galactosidase, alpha peptide - Escherichia coli
1375729_at	BF411904	12.71	Transcribed sequence with weak  similarity to protein pir:RGECDW (E. coli) RGECDW transcription activator of D-serine dehydratase - Escherichia coli
1389697_at	AW529759	12.69	Transcribed sequences
1387291_at	NM_017351	12.64	pre-alpha-inhibitor, heavy chain 3
1381971_at	AW528157	12.62	Similar to Sry-related HMG-box protein (LOC311723), mRNA
1385036_at	BE117744	12.59	Similar to synphilin-1 (LOC307309), mRNA
1369182_at	NM_013057	12.57	coagulation factor 3
1376531_at	BF416276	12.53	Transcribed sequences
1380317_at	BF402765	12.53	cadherin 10
1391464_at	BE104324	12.53	Transcribed sequence with strong similarity to protein pdb:1BGM (E. coli) O Chain O, Beta-Galactosidase
1374930_at	BG378606	12.52	Transcribed sequences
1374320_at	AI717113	12.49	coagulation factor 5
1369144_a_at	U75448	12.48	potassium voltage gated channel, Shal-related family, member 3
1371166_at	AJ011116	12.48	nitric oxide synthase 3, endothelial cell
1377001_at	AI406747	12.48	Transcribed sequences
1381621_at	BF386153	12.47	UI-R-CA1-bba-f-02-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bba-f-02-0-UI 3', mRNA sequence.
1377455_at	BE106526	12.45	solute carrier family 6 (neurotransmitter transporter, GABA), member 11
1383600_at	BG381311	12.39	sodium-coupled citrate transporter
1386679_at	BF562962	12.36	Transcribed sequences
1381133_at	BF409213	12.31	Transcribed sequences
1390331_at	BF391128	12.31	Transcribed sequences
1374816_at	AI103939	12.3	Similar to hypothetical protein FLJ30973 (LOC363091), mRNA
1384870_at	AW529061	12.22	Transcribed sequences
1368393_at	AF136537	12.06	lymphocyte antigen 68
1395023_at	BF417891	12.04	Transcribed sequences
1374172_at	AI010883	12.03	Transcribed sequences
1375933_at	BM392116	12.03	UI-R-DO1-ckp-o-07-0-UI.s1 UI-R-DO1 Rattus norvegicus cDNA clone UI-R-DO1-ckp-o-07-0-UI 3', mRNA sequence.
1393401_at	BE109323	11.98	UI-R-BJ1-auq-f-01-0-UI.s1 UI-R-BJ1 Rattus norvegicus cDNA clone UI-R-BJ1-auq-f-01-0-UI 3', mRNA sequence.
1396442_at	BE111933	11.94	Transcribed sequences
1396870_at	BF419761	11.91	Transcribed sequences
1389095_at	BE110539	11.86	Transcribed sequence with weak  similarity to protein ref:NP_150279.1 (H.sapiens)  brother of CDO [Homo sapiens]
1368182_at	NM_130739	11.79	fatty acid Coenzyme A ligase, long chain 6
1391853_at	AA998997	11.76	Transcribed sequences
1396852_at	AW532366	11.72	Transcribed sequences
1375823_at	BF392130	11.69	Transcribed sequences
1383852_at	AI071395	11.68	UI-R-C2-mw-h-03-0-UI.s1 UI-R-C2 Rattus norvegicus cDNA clone UI-R-C2-mw-h-03-0-UI 3', mRNA sequence.
1388994_at	AW917849	11.66	Transcribed sequences
1377145_at	BI296089	11.59	Similar to very large G protein-coupled receptor 1 (LOC294614), mRNA
1368306_at	U08259	11.57	glutamate receptor, ionotropic, NMDA2C
1396983_at	BF405930	11.57	UI-R-CA1-bii-f-11-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bii-f-11-0-UI 3', mRNA sequence.
1398255_at	NM_031672	11.55	solute carrier family 15, member 2
1397453_at	BM390792	11.54	UI-R-CN1-cjo-b-24-0-UI.s1 UI-R-CN1 Rattus norvegicus cDNA clone UI-R-CN1-cjo-b-24-0-UI 3', mRNA sequence.
1397400_at	BM391846	11.52	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1391013_at	AW523567	11.49	protocadherin 8
1384392_at	BF397093	11.39	UI-R-BS2-bei-b-04-0-UI.s1 UI-R-BS2 Rattus norvegicus cDNA clone UI-R-BS2-bei-b-04-0-UI 3', mRNA sequence.
1383546_at	BE097393	11.22	UI-R-BO1-apq-h-12-0-UI.s1 UI-R-BO1 Rattus norvegicus cDNA clone UI-R-BO1-apq-h-12-0-UI 3', mRNA sequence.
1389107_at	AI008974	11.21	Transcribed sequence with weak  similarity to protein ref:NP_116255.1 (H.sapiens)  hypothetical protein FLJ14957 [Homo sapiens]
1379710_at	BE108372	11.13	Transcribed sequences
1374329_at	BI286364	11.11	Transcribed sequence with moderate similarity to protein sp:O15068 (H.sapiens) DBS_HUMAN Guanine nucleotide exchange factor DBS
1392157_at	BE106313	11.1	Similar to plexin 2 (LOC289392), mRNA
1384907_at	AI411835	11.06	Transcribed sequences
1377163_at	BM385741	11.03	Transcribed sequences
1370410_at	AF322216	11.02	immunoglobulin superfamily, member 1
1376799_a_at	AA925924	11.01	Similar to cytokine receptor like molecule 3 (LOC290655), mRNA
1382453_at	BE118707	11.01	Transcribed sequences
1391039_at	BE115243	11.01	UI-R-CA0-axr-a-04-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-axr-a-04-0-UI 3', mRNA sequence.
1398739_at	BF400127	10.97	Transcribed sequences
1379785_at	BI275894	10.96	Transcribed sequences
1397185_at	BE102060	10.96	Transcribed sequences
1371036_at	BG671431	10.76	neuron-glia-CAM-related cell adhesion molecule
1396660_at	BE108561	10.75	Transcribed sequences
1368437_at	NM_019174	10.67	carbonic anhydrase 4
1375465_at	BG374268	10.65	Similar to orthodenticle 2 isoform b; homeobox protein OTX2 (LOC305858), mRNA
1371094_at	L06804	10.62	LIM homeodomain protein (LH-2) mRNA sequence
1370824_at	AF273025	10.51	solute carrier family 38, member 3
1391559_at	AW525904	10.45	Similar to RIKEN cDNA 0610030G03 (LOC287472), mRNA
1391579_at	AI385229	10.41	purinergic receptor P2X, ligand-gated ion channel, 7
1376748_at	AI406684	10.4	Similar to Arx homeoprotein (LOC317268), mRNA
1369644_at	NM_134408	10.39	calcium-independent alpha-latrotoxin receptor homolog 2
1368261_at	NM_053817	10.38	neurexin 3
1379505_at	BG380642	10.33	Similar to Lix1 protein (LOC292381), mRNA
1373487_at	AI030552	10.27	Transcribed sequences
1391179_at	BF390958	10.26	Transcribed sequences
1377305_at	BE097699	10.25	Transcribed sequences
1368378_at	NM_022547	10.22	10-formyltetrahydrofolate dehydrogenase
1370989_at	AI639318	10.21	ret proto-oncogene
1384822_at	AW521721	10.2	Transcribed sequences
1372626_at	AI231999	10.18	Similar to tumor protein D53 (LOC361461), mRNA
1373401_at	AI176034	10.14	EST219610 Normalized rat ovary, Bento Soares Rattus sp. cDNA clone ROVBJ66 3' end, mRNA sequence.
1397575_at	BF415880	10.14	UI-R-CA0-bkg-b-02-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bkg-b-02-0-UI 3', mRNA sequence.
1376788_at	AA818353	10.1	Transcribed sequences
1379586_at	BF564116	10.09	Transcribed sequences
1379663_at	AI010254	10.08	Transcribed sequences
1386728_at	BF545849	10.08	Transcribed sequences
1369242_at	NM_013001	10.07	paired box gene 6
1379359_at	BF407675	10.06	Transcribed sequences
1398500_at	BI295477	10.03	G protein-coupled hepta-helical receptor Ig-Hepta
1396157_at	BF548958	9.964	Transcribed sequences
1388109_at	BI290677	9.938	G protein-coupled hepta-helical receptor Ig-Hepta
1394756_at	AA955494	9.919	Transcribed sequences
1389332_at	BF283404	9.907	Transcribed sequences
1370205_at	BE118954	9.904	solute carrier family 21 (organic anion transporter), member 14
1391428_at	AI639162	9.875	Transcribed sequences
1368688_at	NM_022695	9.836	neurotensin receptor 2
1396581_at	BE103137	9.826	UI-R-BT1-aqx-a-04-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-aqx-a-04-0-UI 3', mRNA sequence.
1385519_at	BE105678	9.815	Similar to homologue oh human CBFA2T1 gene (LOC362489), mRNA
1370402_at	AF223678	9.778	Estrogen-regulated protein CBL20, 20.4kD
1378111_at	AI576002	9.768	Transcribed sequences
1383983_at	BF399458	9.738	Transcribed sequence with weak  similarity to protein ref:NP_061720.1 (H.sapiens)  axonemal dynein heavy chain 7 [Homo sapiens]
1389234_at	BI298314	9.721	Von Willebrand factor
1376709_at	BM388442	9.704	Similar to RIKEN cDNA 4933419D20 (LOC295455), mRNA
1393743_at	AI453930	9.693	Transcribed sequences
1384061_at	AI029659	9.685	Transcribed sequences
1392177_at	BF400937	9.684	Transcribed sequences
1376702_at	AI228307	9.677	Similar to KIAA0027 protein (LOC315215), mRNA
1367784_a_at	AF314657	9.676	clusterin
1383164_at	AW524366	9.655	UI-R-BO0-ahj-e-02-0-UI.s1 UI-R-BO0 Rattus norvegicus cDNA clone UI-R-BO0-ahj-e-02-0-UI 3', mRNA sequence.
1393359_at	AW534487	9.649	Similar to Adapter-related protein complex 3 beta 2 subunit (Beta-adaptin 3B) (AP-3 complex beta-3B subunit) (Beta-3B-adaptin) (Neuron-specific vesicle coat protein beta-NAP) (LOC308777), mRNA
1391948_at	BM390227	9.642	Transcribed sequences
1391345_at	BI293047	9.625	Transcribed sequences
1379404_at	AI598327	9.577	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1374762_at	BE108896	9.521	Transcribed sequences
1370312_at	M88469	9.505	f-spondin
1387395_at	NM_017161	9.415	adenosine A2B receptor
1378062_at	BF398677	9.403	Transcribed sequences
1370455_a_at	AF442822	9.4	olfactomedin 3
1382250_at	AW526660	9.351	Transcribed sequences
1390585_at	AI169829	9.319	mannose-binding protein associated serine protease-1
1393235_at	AI059968	9.277	Transcribed sequences
1380253_at	BE102139	9.226	Transcribed sequences
1373062_at	BM388650	9.182	sulfatase FP
1385782_at	AW524067	9.169	UI-R-BO0-ahr-b-06-0-UI.s1 UI-R-BO0 Rattus norvegicus cDNA clone UI-R-BO0-ahr-b-06-0-UI 3', mRNA sequence.
1378313_at	BI299600	9.166	Transcribed sequence with weak  similarity to protein sp:O08816 (R.norvegicus) WASL_RAT Neural Wiskott-Aldrich syndrome protein
1372479_at	AI175666	9.108	Transcribed sequences
1381262_at	BG374101	9.106	Transcribed sequences
1386269_x_at	AI177589	9.087	Similar to gp250 precursor (LOC300652), mRNA
1378720_at	BF397780	9.053	GLI-Kruppel family member GLI
1392189_at	BE105136	9.037	Transcribed sequences
1388546_at	AI013328	9.03	EST208003 Normalized rat spleen, Bento Soares Rattus sp. cDNA clone RSPBJ58 3' end, mRNA sequence.
1382278_at	BI278180	9.023	Transcribed sequences
1398131_at	BE096035	9.019	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1371696_at	AI412938	8.999	G protein-coupled receptor 56
1381871_at	BM383359	8.989	Similar to BAI1-associated protein 1; WW domain-containing protein 3; atrophin-1 interacting protein 3 (LOC297463), mRNA
1391534_at	BG666735	8.979	Similar to SSC2 (LOC361231), mRNA
1390173_at	BG377886	8.968	Transcribed sequences
1372920_at	AI411345	8.928	Similar to proline dehydrogenase; PRODH (LOC287950), mRNA
1368561_at	NM_033352	8.909	ATP-binding cassette, sub-family D (ALD), member 2
1372889_at	AI407489	8.873	matrin F/G 1
1383861_at	BF394135	8.842	UI-R-CA0-bha-a-07-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bha-a-07-0-UI 3', mRNA sequence.
1383254_at	BF403169	8.783	UI-R-CA0-bhs-d-12-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bhs-d-12-0-UI 3', mRNA sequence.
1379772_at	BG371624	8.76	Transcribed sequences
1394571_at	BF419402	8.715	UI-R-CA1-bnr-c-04-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bnr-c-04-0-UI 3', mRNA sequence.
1390710_x_at	AA850618	8.705	Similar to gp250 precursor (LOC300652), mRNA
1383811_at	AI145336	8.702	Transcribed sequences
1387383_at	NM_031802	8.697	G protein-coupled receptor 51
1391669_at	BM391921	8.695	Similar to vascular endothelial protein tyrosine phosphatase (LOC314843), mRNA
1374643_at	BF288461	8.679	Transcribed sequences
1384814_at	AI575616	8.639	Transcribed sequences
1369404_a_at	NM_021767	8.627	neurexin 1
1380940_at	BF402603	8.626	Transcribed sequences
1383169_at	BF563716	8.616	Transcribed sequences
1384013_at	BF524215	8.611	UI-R-Y0-va-d-06-0-UI.r1 UI-R-Y0 Rattus norvegicus cDNA clone UI-R-Y0-va-d-06-0-UI 5', mRNA sequence.
1394047_at	BE107848	8.526	Transcribed sequences
1383593_at	BE113211	8.525	Transcribed sequences
1385682_at	BI300559	8.511	Similar to vitrin (LOC313831), mRNA
1390161_at	AA818900	8.468	Transcribed sequences
1377308_a_at	BF398408	8.459	Transcribed sequences
1379868_at	BI287855	8.458	Similar to RIKEN cDNA 4732463H20 (LOC310644), mRNA
1368080_at	NM_054008	8.457	Response gene to complement 32
1390809_at	AI599392	8.433	Musashi homolog 1(Drosophila)
1393665_at	AW526330	8.424	UI-R-BO1-aja-g-07-0-UI.s1 UI-R-BO1 Rattus norvegicus cDNA clone UI-R-BO1-aja-g-07-0-UI 3', mRNA sequence.
1386056_at	AI229321	8.375	Transcribed sequences
1373178_at	AA945183	8.373	Transcribed sequences
1384770_at	AI112057	8.356	Transcribed sequences
1371450_at	BE117330	8.34	Transcribed sequence with strong similarity to protein pdb:1BGM (E. coli) O Chain O, Beta-Galactosidase
1393883_at	AI556852	8.311	Transcribed sequences
1380617_at	BI294743	8.31	immune associated nucleotide 4 like 1 (mouse)
1368772_at	NM_017049	8.307	solute carrier family 4, member 3
1377966_at	BI275560	8.306	Transcribed sequences
1396009_at	BE108258	8.306	UI-R-BS1-ayx-b-11-0-UI.s1 UI-R-BS1 Rattus norvegicus cDNA clone UI-R-BS1-ayx-b-11-0-UI 3', mRNA sequence.
1368577_at	NM_053388	8.305	gap junction protein, beta 6 (connexin 30)
1396559_at	BF396566	8.298	UI-R-BS2-bdz-f-03-0-UI.s1 UI-R-BS2 Rattus norvegicus cDNA clone UI-R-BS2-bdz-f-03-0-UI 3', mRNA sequence.
1392182_at	BG380589	8.258	UI-R-CT0-btz-b-01-0-UI.s1 UI-R-CT0 Rattus norvegicus cDNA clone UI-R-CT0-btz-b-01-0-UI 3', mRNA sequence.
1382579_at	BE107165	8.256	Transcribed sequence with weak  similarity to protein pir:A43932 (H.sapiens) A43932 mucin 2 precursor, intestinal - human
1390274_at	AI170313	8.248	Transcribed sequence with weak  similarity to protein pir:S57447 (H.sapiens) S57447 HPBRII-7 protein - human
1386953_at	NM_017080	8.226	hydroxysteroid 11-beta dehydrogenase 1
1373386_at	AI179953	8.22	Transcribed sequence with moderate similarity to protein pir:A43424 (H.sapiens) A43424 gap junction protein Cx26 - human
1384591_at	BG374055	8.215	Transcribed sequences
1390790_a_at	AA964219	8.209	Transcribed sequences
1378471_at	BE111819	8.18	Similar to hypothetical protein FLJ10770 (LOC362551), mRNA
1385876_at	AA817826	8.179	Similar to Gpc6 protein (LOC306163), mRNA
1368255_at	NM_017354	8.173	neurotrimin
1378623_at	BE095875	8.166	Transcribed sequences
1381448_at	AW535305	8.158	Similar to CG6796-PA (LOC293128), mRNA
1388856_at	BG374178	8.144	kit ligand
1373696_at	AI171656	8.127	LOC362536 (LOC362536), mRNA
1382138_at	BG380221	8.097	Similar to smooth muscle myosin phosphatase regulatory subunit homolog family member, Maternal Effect Lethal MEL-11 (110.6 kD) (mel-11) (LOC366002), mRNA
1368474_at	NM_012889	8.09	vascular cell adhesion molecule 1
1369020_at	NM_052983	8.081	solute carrier family 5, member 5
1383311_at	AI716026	8.079	Similar to zinc finger protein Cezanne; cellular zinc finger anti-NF-kappaB Cezanne (LOC310677), mRNA
1393560_at	BF416676	8.057	Similar to cDNA sequence BC024139 (LOC362940), mRNA
1376747_at	BE107075	8.047	Similar to BAI1-associated protein 1; WW domain-containing protein 3; atrophin-1 interacting protein 3 (LOC297463), mRNA
1389770_at	BF405468	8.01	Transcribed sequences
1392105_at	AW527533	8.01	Transcribed sequences
1371731_at	AI408151	8.005	EST236441 Normalized rat ovary, Bento Soares Rattus sp. cDNA clone ROVEH22 3' end, mRNA sequence.
1387178_a_at	NM_012522	7.983	cystathionine beta synthase
1386860_at	NM_012811	7.96	milk fat globule-EGF factor 8 protein
1397165_at	BF547582	7.945	Similar to SWI/SNF-related matrix-associated actin-dependent regulator of chromatin a2 isoform a; SNF2-like 2; SNF2-alpha; SNF2/SWI2-like protein 2; sucrose nonfermenting 2-like protein 2; global transcription activator homologous s ...
1378323_at	AW524892	7.872	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1389193_at	BM388083	7.851	Transcribed sequences
1385464_at	AI070944	7.848	UI-R-C2-na-b-02-0-UI.s1 UI-R-C2 Rattus norvegicus cDNA clone UI-R-C2-na-b-02-0-UI 3', mRNA sequence.
1391447_at	BI299229	7.846	Transcribed sequence with moderate similarity to protein pir:I60307 (E. coli) I60307 beta-galactosidase, alpha peptide - Escherichia coli
1379747_at	AA866443	7.818	Transcribed sequences
1387052_at	NM_031039	7.818	glutamic-pyruvate transaminase (alanine aminotransferase)
1383010_at	AW531880	7.812	Transcribed sequences
1389092_at	AI178808	7.812	interleukin 2 receptor, gamma chain
1379318_at	BI296812	7.811	Transcribed sequence with strong similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1380087_at	BE119409	7.808	Transcribed sequences
1381246_at	BI293437	7.794	Transcribed sequences
1393581_at	AW528001	7.786	Similar to abnormal spindle (LOC289054), mRNA
1383210_at	BF554576	7.784	Transcribed sequence with strong similarity to protein pdb:1BGM (E. coli) O Chain O, Beta-Galactosidase
1384035_at	AW536030	7.736	UI-R-BS0-aog-f-06-0-UI.s1 UI-R-BS0 Rattus norvegicus cDNA clone UI-R-BS0-aog-f-06-0-UI 3', mRNA sequence.
1394849_at	BF402012	7.728	Transcribed sequences
1381733_at	BF404543	7.722	Transcribed sequences
1374681_at	AW914967	7.713	Transcribed sequences
1372118_at	BI281674	7.684	Similar to p19 (LOC363557), mRNA
1379863_at	AW528891	7.668	potassium voltage gated channel, Shal-related family, member 2
1393067_at	AI710931	7.656	endothelial-specific receptor tyrosine kinase
1384036_s_at	AW536030	7.644	UI-R-BS0-aog-f-06-0-UI.s1 UI-R-BS0 Rattus norvegicus cDNA clone UI-R-BS0-aog-f-06-0-UI 3', mRNA sequence.
1370652_at	M55293	7.642	neurotrophic tyrosine kinase, receptor, type 2
1381753_at	BF416214	7.633	Transcribed sequences
1393258_at	AI112121	7.631	UI-R-Y0-mo-h-06-0-UI.s1 UI-R-Y0 Rattus norvegicus cDNA clone UI-R-Y0-mo-h-06-0-UI 3', mRNA sequence.
1377014_at	BG375383	7.629	Similar to hypothetical protein MGC42105 (LOC310376), mRNA
1377632_at	AW251195	7.627	UI-R-BJ0-adf-c-08-0-UI.s1 UI-R-BJ0 Rattus norvegicus cDNA clone UI-R-BJ0-adf-c-08-0-UI 3', mRNA sequence.
1379140_at	BF397054	7.623	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1371595_at	BM384301	7.602	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1384944_at	BE116855	7.57	Transcribed sequences
1370211_at	BE106940	7.566	neurogranin
1377929_at	BF550844	7.509	Transcribed sequence with weak  similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1386913_at	NM_019358	7.509	glycoprotein 38
1381750_at	AW251098	7.499	UI-R-BJ0-adi-c-11-0-UI.s1 UI-R-BJ0 Rattus norvegicus cDNA clone UI-R-BJ0-adi-c-11-0-UI 3', mRNA sequence.
1368329_at	NM_017224	7.485	solute carrier family 22, member 6
1389475_at	BF398112	7.483	smoothened homolog (Drosophila)
1378368_at	BF402723	7.474	Similar to expressed sequence AI481284 (LOC309550), mRNA
1388902_at	AI599031	7.458	Similar to Loxl protein (LOC315714), mRNA
1374655_at	BG378095	7.45	UI-R-CT0-bvn-h-04-0-UI.s1 UI-R-CT0 Rattus norvegicus cDNA clone UI-R-CT0-bvn-h-04-0-UI 3', mRNA sequence.
1368954_at	NM_033299	7.448	phospholipase D2
