GenBank gi	Locus	Fold	Gene Name and/or Information
1381665_at	BF410498	5.405	Transcribed sequences
1368459_at	NM_024375	5.384	prepro bone inducing protein
1368467_at	NM_019623	5.261	cytochrome P450, subfamily IVF, polypeptide 14 (leukotriene B4 omega hydroxylase)
1387811_at	NM_134432	5.223	angiotensinogen
1390331_at	BF391128	5.199	Transcribed sequences
1390585_at	AI169829	5.109	mannose-binding protein associated serine protease-1
1393886_at	BI301345	5.105	UI-R-DL0-cio-n-03-0-UI.s1 UI-R-DL0 Rattus norvegicus cDNA clone UI-R-DL0-cio-n-03-0-UI 3', mRNA sequence.
1374363_at	AI232693	5.086	Similar to hypothetical protein FLJ30473 (LOC303786), mRNA
1376562_at	BI291396	4.998	Similar to misshapen/NIK-related kinase isoform 2; GCK family kinase MINK; serine/threonine protein kinase (LOC294917), mRNA
1396442_at	BE111933	4.964	Transcribed sequences
1388189_at	AW522430	4.901	Transcribed sequence with strong similarity to protein sp:Q14832 (H.sapiens) MGR3_HUMAN Metabotropic glutamate receptor 3 precursor
1381133_at	BF409213	4.895	Transcribed sequences
1380041_at	BF396849	4.871	Transcribed sequences
1370115_at	NM_053726	4.823	solute carrier family 7, (cationic amino acid transporter, y+ system) member 10
1376531_at	BF416276	4.763	Transcribed sequences
1380747_at	BE098757	4.743	Transcribed sequences
1372920_at	AI411345	4.683	Similar to proline dehydrogenase; PRODH (LOC287950), mRNA
1396957_at	BF404490	4.678	Transcribed sequences
1378062_at	BF398677	4.609	Transcribed sequences
1376105_at	AI599143	4.608	Similar to collagen type XIV (LOC314981), mRNA
1377508_at	BI298836	4.577	Transcribed sequences
1393560_at	BF416676	4.547	Similar to cDNA sequence BC024139 (LOC362940), mRNA
1396559_at	BF396566	4.535	UI-R-BS2-bdz-f-03-0-UI.s1 UI-R-BS2 Rattus norvegicus cDNA clone UI-R-BS2-bdz-f-03-0-UI 3', mRNA sequence.
1373787_at	AA943735	4.487	glycine transporter 1
1377305_at	BE097699	4.439	Transcribed sequences
1369093_at	NM_080394	4.418	reelin
1377308_a_at	BF398408	4.409	Transcribed sequences
1378458_at	BI281745	4.384	Transcribed sequences
1389986_at	AI008409	4.381	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1381750_at	AW251098	4.376	UI-R-BJ0-adi-c-11-0-UI.s1 UI-R-BJ0 Rattus norvegicus cDNA clone UI-R-BJ0-adi-c-11-0-UI 3', mRNA sequence.
1384770_at	AI112057	4.372	Transcribed sequences
1376667_at	BE105541	4.357	cytochrome P450, family 26, subfamily b, polypeptide 1
1396870_at	BF419761	4.344	Transcribed sequences
1379711_at	BE107458	4.327	Transcribed sequences
1387052_at	NM_031039	4.325	glutamic-pyruvate transaminase (alanine aminotransferase)
1376438_at	BF416513	4.323	Transcribed sequences
1388592_at	BI298958	4.319	UI-R-CV2-chp-e-07-0-UI.s1 UI-R-CV2 Rattus norvegicus cDNA clone UI-R-CV2-chp-e-07-0-UI 3', mRNA sequence.
1368255_at	NM_017354	4.307	neurotrimin
1389951_at	BF399415	4.301	Transcribed sequences
1370937_a_at	X74293	4.28	integrin alpha 7
1378899_at	BE108523	4.273	Transcribed sequences
1387372_at	NM_133623	4.266	solute carrier family 6 (neurotransmitter transporter, GABA), member 13
1379747_at	AA866443	4.243	Transcribed sequences
1390376_at	BF406135	4.233	Transcribed sequences
1368329_at	NM_017224	4.228	solute carrier family 22, member 6
1374159_at	BM388029	4.197	Transcribed sequences
1394578_at	BI299761	4.175	Transcribed sequences
1398497_at	BF391243	4.171	Transcribed sequence with weak  similarity to protein sp:P04280 (H.sapiens) PRP1_HUMAN Salivary proline-rich protein precursor
1367887_at	NM_017024	4.168	lecithin cholesterol acyltransferase
1384247_at	AI070365	4.158	Transcribed sequences
1369756_a_at	AF210250	4.155	solute carrier family 4, member 4
1368306_at	U08259	4.15	glutamate receptor, ionotropic, NMDA2C
1393335_at	BF418373	4.137	Similar to hypothetical protein (LOC317470), mRNA
1370594_at	AF322217	4.125	immunoglobulin superfamily, member 1
1397217_at	BF408757	4.102	Transcribed sequences
1385788_at	AW534949	4.099	UI-R-BS0-any-d-05-0-UI.s1 UI-R-BS0 Rattus norvegicus cDNA clone UI-R-BS0-any-d-05-0-UI 3', mRNA sequence.
1378548_at	BF409866	4.081	Transcribed sequences
1368378_at	NM_022547	4.052	10-formyltetrahydrofolate dehydrogenase
1381733_at	BF404543	4.008	Transcribed sequences
1381681_at	BE110205	4.007	Transcribed sequences
1393665_at	AW526330	3.985	UI-R-BO1-aja-g-07-0-UI.s1 UI-R-BO1 Rattus norvegicus cDNA clone UI-R-BO1-aja-g-07-0-UI 3', mRNA sequence.
1380400_at	BF402498	3.968	Transcribed sequences
1377375_at	AA944898	3.967	Similar to aminoadipate-semialdehyde synthase (LOC296925), mRNA
1373915_at	AI044427	3.962	Similar to myotonic dystrophy protein kinase (LOC308405), mRNA
1398565_at	AW534457	3.933	Transcribed sequences
1368561_at	NM_033352	3.928	ATP-binding cassette, sub-family D (ALD), member 2
1378721_at	AI547942	3.928	Transcribed sequences
1398304_at	L02530	3.926	frizzled homolog 2 (Drosophila)
1381290_at	AI101288	3.923	EST210577 Normalized rat brain, Bento Soares Rattus sp. cDNA clone RBRBK81 3' end, mRNA sequence.
1384741_at	BE105438	3.921	Transcribed sequences
1396310_at	BF545380	3.909	UI-R-C0-jf-b-09-0-UI.r1 UI-R-C0 Rattus norvegicus cDNA clone UI-R-C0-jf-b-09-0-UI 5', mRNA sequence.
1386884_at	NM_031721	3.903	protease, serine, 11
1372492_at	AI412937	3.898	Similar to claudin-10 (LOC290485), mRNA
1383468_at	BM958512	3.89	Transcribed sequences
1378365_at	AW529483	3.877	Transcribed sequences
1387973_at	U39206	3.876	cytochrome P450 4F4
1373807_at	AI175732	3.865	vascular endothelial growth factor
1396494_at	BF410352	3.833	Transcribed sequences
1385849_at	AI146262	3.831	Transcribed sequences
1383852_at	AI071395	3.817	UI-R-C2-mw-h-03-0-UI.s1 UI-R-C2 Rattus norvegicus cDNA clone UI-R-C2-mw-h-03-0-UI 3', mRNA sequence.
1391061_at	BI293100	3.816	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1368398_at	NM_031601	3.811	calcium channel, voltage-dependent, T type, alpha 1G subunit
1388902_at	AI599031	3.805	Similar to Loxl protein (LOC315714), mRNA
1367700_at	NM_080698	3.8	fibromodulin
1392932_at	BI279191	3.797	Hypothetical LOC292596 (LOC292596), mRNA
1386268_at	AI177589	3.794	Similar to gp250 precursor (LOC300652), mRNA
1391992_at	AI639517	3.79	Transcribed sequences
1387383_at	NM_031802	3.787	G protein-coupled receptor 51
1396983_at	BF405930	3.785	UI-R-CA1-bii-f-11-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bii-f-11-0-UI 3', mRNA sequence.
1367571_a_at	NM_031511	3.762	insulin-like growth factor 2
1390345_at	BG375523	3.755	Similar to U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (snRNP70) (U1-70K) (LOC361574), mRNA
1377001_at	AI406747	3.722	Transcribed sequences
1381160_at	AW522852	3.722	Transcribed sequences
1375175_at	BE101876	3.705	UI-R-BT1-aqi-a-04-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-aqi-a-04-0-UI 3', mRNA sequence.
1370517_at	U18772	3.699	neurotensin receptor 2
1368249_at	NM_053536	3.697	Kruppel-like factor 15
1375653_at	BE109405	3.696	Transcribed sequences
1385177_at	BF390449	3.696	Transcribed sequences
1382034_at	AA901075	3.693	Similar to RIKEN cDNA 2310005E10 (LOC296972), mRNA
1374020_at	BF281893	3.675	Transcribed sequences
1398131_at	BE096035	3.669	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1383600_at	BG381311	3.656	sodium-coupled citrate transporter
1395121_at	BF394559	3.643	Transcribed sequences
1379586_at	BF564116	3.638	Transcribed sequences
1384013_at	BF524215	3.636	UI-R-Y0-va-d-06-0-UI.r1 UI-R-Y0 Rattus norvegicus cDNA clone UI-R-Y0-va-d-06-0-UI 5', mRNA sequence.
1370989_at	AI639318	3.634	ret proto-oncogene
1368536_at	NM_057104	3.63	ectonucleotide pyrophosphatase/phosphodiesterase 2
1386056_at	AI229321	3.63	Transcribed sequences
1380804_at	BM391896	3.611	Transcribed sequences
1377455_at	BE106526	3.607	solute carrier family 6 (neurotransmitter transporter, GABA), member 11
1374475_at	AI105131	3.583	Similar to alpha/beta hydrolase-1 (LOC313917), mRNA
1393706_at	BE109939	3.567	Similar to six transmembrane epithelial antigen of the prostate (LOC297738), mRNA
1368182_at	NM_130739	3.563	fatty acid Coenzyme A ligase, long chain 6
1387171_at	NM_017261	3.556	glutamate receptor, ionotropic,  2
1381374_at	AI058424	3.554	leucine-rich repeat LGI family, member 4
1378930_a_at	BG371548	3.548	Transcribed sequences
1383169_at	BF563716	3.532	Transcribed sequences
1380874_at	AW521752	3.53	Transcribed sequences
1380698_at	BE108305	3.527	UI-R-BS1-ayx-g-04-0-UI.s1 UI-R-BS1 Rattus norvegicus cDNA clone UI-R-BS1-ayx-g-04-0-UI 3', mRNA sequence.
1367648_at	AI104234	3.517	Similar to Low-density lipoprotein receptor-related protein 10 (LOC305880), mRNA
1392034_at	BE099812	3.51	Transcribed sequences
1384655_at	AW142820	3.507	Transcribed sequences
1390299_at	BF405880	3.5	Transcribed sequences
1391559_at	AW525904	3.5	Similar to RIKEN cDNA 0610030G03 (LOC287472), mRNA
1374263_at	BF396108	3.496	Transcribed sequences
1374298_at	BG373455	3.49	Transcribed sequences
1371036_at	BG671431	3.488	neuron-glia-CAM-related cell adhesion molecule
1392734_at	AI145667	3.477	Transcribed sequences
1389095_at	BE110539	3.471	Transcribed sequence with weak  similarity to protein ref:NP_150279.1 (H.sapiens)  brother of CDO [Homo sapiens]
1367794_at	NM_012488	3.47	alpha-2-macroglobulin
1385584_at	AI111406	3.47	Transcribed sequences
1377966_at	BI275560	3.462	Transcribed sequences
1380712_at	AI406475	3.461	Transcribed sequences
1369955_at	NM_134452	3.448	collagen, type V, alpha 1
1392359_at	BE120205	3.442	Transcribed sequence with moderate similarity to protein pir:S68176 (H.sapiens) S68176 TOG protein - human
1372583_at	AI009094	3.441	Transcribed sequences
1373326_at	AI716512	3.434	Transcribed sequences
1368373_at	NM_019343	3.432	regulator of G-protein signaling 7
1374652_at	BF285372	3.423	Similar to RIKEN cDNA 4930433D19 (LOC362403), mRNA
1377929_at	BF550844	3.418	Transcribed sequence with weak  similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1389697_at	AW529759	3.418	Transcribed sequences
1377632_at	AW251195	3.417	UI-R-BJ0-adf-c-08-0-UI.s1 UI-R-BJ0 Rattus norvegicus cDNA clone UI-R-BJ0-adf-c-08-0-UI 3', mRNA sequence.
1391179_at	BF390958	3.414	Transcribed sequences
1392795_at	AA963069	3.4	Transcribed sequences
1383234_at	BF405850	3.396	UI-R-CA1-bje-c-16-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bje-c-16-0-UI 3', mRNA sequence.
1396887_at	AW527935	3.387	Transcribed sequences
1388569_at	AI179984	3.385	serine (or cysteine) proteinase inhibitor, clade F), member 1
1386953_at	NM_017080	3.38	hydroxysteroid 11-beta dehydrogenase 1
1394778_at	BE116111	3.38	Transcribed sequences
1377392_at	BF389722	3.377	Similar to dishevelled-associated activator of morphogenesis 1 (LOC316201), mRNA
1387178_a_at	NM_012522	3.371	cystathionine beta synthase
1389725_at	BM390364	3.366	Similar to Delta(14)-sterol reductase (C-14 sterol reductase) (Sterol C14-reductase) (Delta14-SR) (Transmembrane 7 superfamily member 2) (Another new gene 1) (Putative sterol reductase SR-1) (LOC293688), mRNA
1369128_at	NM_017262	3.36	glutamate receptor, ionotropic, kainate 5
1385205_at	BF409092	3.358	UI-R-BT1-bkl-h-06-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-bkl-h-06-0-UI 3', mRNA sequence.
1370355_at	J02585	3.353	stearoyl-Coenzyme A desaturase 1
1387395_at	NM_017161	3.35	adenosine A2B receptor
1378628_at	BF411451	3.343	Transcribed sequences
1385008_at	AA925373	3.343	Transcribed sequences
1381732_at	BF398558	3.341	fatty acid binding protein 7
1382911_at	BE105150	3.337	UI-R-BX0-arz-a-10-0-UI.s1 UI-R-BX0 Rattus norvegicus cDNA clone UI-R-BX0-arz-a-10-0-UI 3', mRNA sequence.
1370845_at	BI288690	3.331	Transcribed sequence with weak  similarity to protein sp:Q9Y5L3 (H.sapiens) ENP2_HUMAN Ectonucleoside triphosphate diphosphohydrolase 2
1373642_at	AI145380	3.32	Similar to hypothetical protein (LOC310628), mRNA
1370830_at	M37394	3.297	epidermal growth factor receptor
1390518_at	AW915157	3.293	Transcribed sequence with strong similarity to protein ref:NP_542162.1 (M.musculus)  Emu1 protein [Mus musculus]
1398115_at	BF393962	3.292	Transcribed sequences
1379594_at	AW524408	3.291	Transcribed sequences
1391304_at	BM388658	3.288	Similar to MGC36320 protein (LOC363190), mRNA
1397286_at	AW435211	3.278	transcription factor 4
1377086_at	AI233530	3.277	Transcribed sequences
1374724_at	BG378232	3.275	UI-R-CV1-bvp-f-01-0-UI.s1 UI-R-CV1 Rattus norvegicus cDNA clone UI-R-CV1-bvp-f-01-0-UI 3', mRNA sequence.
1376481_at	BF416285	3.274	Similar to a disintegrin-like and metalloprotease with thrombospondin type 1 motifs 9B (LOC312566), mRNA
1392347_at	AW527765	3.274	UI-R-BO1-ajk-d-01-0-UI.s1 UI-R-BO1 Rattus norvegicus cDNA clone UI-R-BO1-ajk-d-01-0-UI 3', mRNA sequence.
1375795_at	BI301062	3.273	Transcribed sequences
1386269_x_at	AI177589	3.27	Similar to gp250 precursor (LOC300652), mRNA
1377374_at	AI146055	3.268	Transcribed sequences
1390398_at	AI179372	3.268	bone morphogenetic protein receptor, type 1A
1373386_at	AI179953	3.262	Transcribed sequence with moderate similarity to protein pir:A43424 (H.sapiens) A43424 gap junction protein Cx26 - human
1395776_at	BF396580	3.254	Transcribed sequences
1367784_a_at	AF314657	3.25	clusterin
1384392_at	BF397093	3.249	UI-R-BS2-bei-b-04-0-UI.s1 UI-R-BS2 Rattus norvegicus cDNA clone UI-R-BS2-bei-b-04-0-UI 3', mRNA sequence.
1380317_at	BF402765	3.248	cadherin 10
1392177_at	BF400937	3.234	Transcribed sequences
1386310_at	AI412779	3.219	Transcribed sequence with moderate similarity to protein pir:S12207 (M.musculus) S12207 hypothetical protein
1390366_at	BI291884	3.218	Similar to PC-LKC gene product (LOC291002), mRNA
1373749_at	BF395599	3.211	Similar to Snta1 protein (LOC362242), mRNA
1392720_at	BG376949	3.207	Transcribed sequence with moderate similarity to protein pir:A46661 (H.sapiens) A46661 leukotriene B4 omega-hydroxylase
1369404_a_at	NM_021767	3.206	neurexin 1
1389966_at	AI176126	3.204	Transcribed sequence with weak  similarity to protein ref:NP_004360.1 (H.sapiens)  alpha 3 type VI collagen, isoform 1 precursor; collagen VI, alpha-3 polypeptide [Homo sapiens]
1376504_at	AI145685	3.203	Similar to Brain-specific angiogenesis inhibitor 1 precursor (LOC362931), mRNA
1377421_at	BF562337	3.202	Transcribed sequences
1397112_at	BF415784	3.198	Transcribed sequences
1390710_x_at	AA850618	3.195	Similar to gp250 precursor (LOC300652), mRNA
1373178_at	AA945183	3.192	Transcribed sequences
1389436_at	AI236615	3.191	Hypothetical LOC289904 (LOC289904), mRNA
1386679_at	BF562962	3.172	Transcribed sequences
1379143_at	BF409564	3.165	Transcribed sequences
1373957_at	BF281544	3.16	reelin
1380784_at	BE115838	3.157	Similar to KLHL5 protein (LOC305351), mRNA
1380940_at	BF402603	3.153	Transcribed sequences
1390014_at	BF399576	3.147	UI-R-CA0-bht-d-05-0-UI.s2 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bht-d-05-0-UI 3', mRNA sequence.
1369831_at	NM_012916	3.142	brevican
1372747_at	AI409899	3.141	solute carrier family 20, member 2
1396852_at	AW532366	3.138	Transcribed sequences
1396746_at	BF405991	3.12	UI-R-CA1-bje-h-17-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bje-h-17-0-UI 3', mRNA sequence.
1367860_a_at	X83537	3.113	matrix metalloproteinase 14, membrane-inserted
1368401_at	NM_017261	3.103	glutamate receptor, ionotropic,  2
1375781_at	BF419844	3.101	Transcribed sequences
1374191_at	AA956764	3.097	Similar to Rhbdf1 protein (LOC303008), mRNA
1370384_a_at	M57668	3.092	prolactin receptor
1367944_at	NM_080397	3.091	carbohydrate sulfotransferase 10
1367598_at	NM_012681	3.079	transthyretin
1374444_at	BI288540	3.076	Similar to plexinB1 (LOC316009), mRNA
1370410_at	AF322216	3.074	immunoglobulin superfamily, member 1
1381648_at	BF397798	3.07	UI-R-BS2-bee-g-06-0-UI.s1 UI-R-BS2 Rattus norvegicus cDNA clone UI-R-BS2-bee-g-06-0-UI 3', mRNA sequence.
1391809_at	BE106814	3.063	Transcribed sequences
1368139_s_at	Y00714	3.062	alkaline phosphatase, tissue-nonspecific
1388240_a_at	X74294	3.06	integrin alpha 7
1377555_at	BF387432	3.059	Transcribed sequences
1374786_at	BI298817	3.058	Transcribed sequences
1377457_a_at	AA850618	3.058	Similar to gp250 precursor (LOC300652), mRNA
1394097_at	AA849706	3.056	Transcribed sequences
1381753_at	BF416214	3.052	Transcribed sequences
1375839_at	BF393490	3.043	Similar to CP2B (LOC301038), mRNA
1376707_at	AW918311	3.043	Similar to C1q and tumor necrosis factor related protein 4; complement-c1q tumor necrosis factor-related protein 4 (LOC311184), mRNA
1369144_a_at	U75448	3.042	potassium voltage gated channel, Shal-related family, member 3
1370824_at	AF273025	3.038	solute carrier family 38, member 3
1380253_at	BE102139	3.038	Transcribed sequences
1394562_at	AW530585	3.035	Transcribed sequences
1379863_at	AW528891	3.033	potassium voltage gated channel, Shal-related family, member 2
1375004_at	BF409055	3.031	Similar to hypothetical protein MGC18079 (LOC361647), mRNA
1368425_at	NM_080690	3.029	cask-interacting protein 1
1367838_at	NM_017074	3.027	CTL target antigen
1393512_at	AA957880	3.026	Transcribed sequences
1378720_at	BF397780	3.015	GLI-Kruppel family member GLI
1376251_at	BE107622	3.006	Transcribed sequences
1378367_at	BF389087	3.004	Transcribed sequences
1374870_at	BF286402	3.002	collagen, type XXVII, alpha 1
1388054_a_at	AF072892	3	chondroitin sulfate proteoglycan 2 (versican)
1388004_at	AF087947	2.999	Osteotesticular phosphatase
1397615_at	BG375528	2.998	UI-R-CV1-btc-d-03-0-UI.s1 UI-R-CV1 Rattus norvegicus cDNA clone UI-R-CV1-btc-d-03-0-UI 3', mRNA sequence.
1390092_at	BF410328	2.996	Transcribed sequences
1376944_at	AI407163	2.995	Transcribed sequences
1393995_at	AW534561	2.994	glutamate receptor, ionotropic,  2
1375708_at	BF392901	2.986	collagen, type XXVII, alpha 1
1373631_at	BF284067	2.972	Similar to Rap1 GTPase-activating protein 1 (Rap1GAP) (LOC313644), mRNA
1398645_at	BE106388	2.972	Transcribed sequence with strong similarity to protein sp:O00755 (H.sapiens) WN7A_HUMAN WNT-7A protein precursor
1367953_at	NM_017092	2.967	TYRO3 protein tyrosine kinase 3
1392480_at	BE100901	2.952	poly(A) binding protein, nuclear 1
1376011_at	AI411359	2.945	Similar to mitogen-activated protein kinase kinase kinase 13; leucine zipper-bearing kinase (LOC363848), mRNA
1393097_at	AI709802	2.939	Similar to hypothetical protein MGC36325 (LOC291736), mRNA
1382294_at	AI576111	2.934	activated leukocyte cell adhesion molecule
1387363_at	AF040256	2.934	folate hydrolase
1394767_at	BF396817	2.931	UI-R-BS2-bev-e-02-0-UI.s1 UI-R-BS2 Rattus norvegicus cDNA clone UI-R-BS2-bev-e-02-0-UI 3', mRNA sequence.
1381775_at	BF391321	2.918	Transcribed sequences
1392846_at	AA944574	2.91	Transcribed sequences
1376203_at	BF285996	2.907	Similar to Rho guanine nucleotide exchange factor 4 isoform a; APC-stimulated guanine nucleotide exchange factor (LOC301336), mRNA
1376619_at	AI412803	2.907	Similar to protein tyrosine phosphatase, receptor type, D isoform 3 precursor; protein tyrosine phosphatase, receptor type, delta polypeptide; protein tyrosine phosphatase delta (LOC313278), mRNA
1387934_at	U37142	2.901	brevican
1390643_at	BF403311	2.9	Transcribed sequences
1398255_at	NM_031672	2.896	solute carrier family 15, member 2
1368453_at	NM_031344	2.893	fatty acid desaturase 2
1371052_at	AA859752	2.892	noggin
1375513_at	BG376846	2.891	Transcribed sequences
1370125_at	NM_019189	2.889	cartilage link protein 1
1377008_at	BI296868	2.887	Transcribed sequence with weak  similarity to protein prf:2208351A (H.sapiens) 2208351A syntrophin:ISOTYPE=alpha1 [Homo sapiens]
1379620_at	AW529639	2.887	Transcribed sequences
1379404_at	AI598327	2.886	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1375658_at	AI412317	2.885	Transcribed sequences
1376765_at	BF283408	2.885	Similar to B29 protein (LOC361348), mRNA
1385355_at	BF391308	2.885	UI-R-CA1-bcv-h-02-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bcv-h-02-0-UI 3', mRNA sequence.
1373401_at	AI176034	2.881	EST219610 Normalized rat ovary, Bento Soares Rattus sp. cDNA clone ROVBJ66 3' end, mRNA sequence.
1378038_at	BF393884	2.881	UI-R-CA0-bgw-b-06-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bgw-b-06-0-UI 3', mRNA sequence.
1395023_at	BF417891	2.876	Transcribed sequences
1375264_at	BF416264	2.87	Transcribed sequences
1389424_at	BI289475	2.869	Transcribed sequences
1388039_a_at	AF283276	2.867	gamma-aminobutyric acid (GABA) B receptor, 1
1391770_at	BE108244	2.867	Transcribed sequences
1390668_at	BG378312	2.862	UI-R-CV1-bvq-f-04-0-UI.s1 UI-R-CV1 Rattus norvegicus cDNA clone UI-R-CV1-bvq-f-04-0-UI 3', mRNA sequence.
1367682_at	NM_030859	2.861	midkine
1394689_at	BE117217	2.857	Transcribed sequences
1390878_at	BI296047	2.852	Similar to Thbs3 protein (LOC295242), mRNA
1385729_at	BE108687	2.845	UI-R-CA0-axh-c-03-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-axh-c-03-0-UI 3', mRNA sequence.
1367749_at	NM_031050	2.84	lumican
1387889_at	AI233882	2.824	folate receptor 1 (adult)
1380897_at	BE105590	2.823	Transcribed sequences
1390743_at	BF405616	2.822	Transcribed sequences
1376170_at	BI290821	2.817	Similar to collagen type XIV (LOC314981), mRNA
1381210_at	AI639521	2.814	Transcribed sequences
1376092_at	BF396614	2.813	Transcribed sequence with weak  similarity to protein sp:O00401 (H.sapiens) WASL_HUMAN Neural Wiskott-Aldrich syndrome protein
1380833_at	AI045802	2.807	glycosylphosphatidylinositol specific phospholipase D1
1384822_at	AW521721	2.807	Transcribed sequences
1368600_at	NM_022287	2.803	solute carrier family 26 (sulfate transporter), member 1
1374655_at	BG378095	2.803	UI-R-CT0-bvn-h-04-0-UI.s1 UI-R-CT0 Rattus norvegicus cDNA clone UI-R-CT0-bvn-h-04-0-UI 3', mRNA sequence.
1376744_at	BI289572	2.798	Transcribed sequences
1387291_at	NM_017351	2.792	pre-alpha-inhibitor, heavy chain 3
1387146_a_at	X57764	2.789	endothelin receptor type B
1381448_at	AW535305	2.787	Similar to CG6796-PA (LOC293128), mRNA
1384320_at	BE121330	2.787	Similar to Brain-specific angiogenesis inhibitor 3 precursor (LOC301309), mRNA
1389533_at	AA944398	2.774	fibulin 2
1383418_at	BG377805	2.759	Transcribed sequences
1392368_at	BE117273	2.759	Transcribed sequences
1370599_a_at	L19933	2.755	protein tyrosine phosphatase, receptor type, D
1388459_at	AI101782	2.755	collagen, type XVIII, alpha 1
1374861_at	AI175907	2.754	Similar to groucho-related protein (LOC299636), mRNA
1369705_at	AI169634	2.751	X transporter protein 3
